TSB Ergonomic Report
  Job Title: angkat beras
  Job Number: 01
  Location: kediri
  Analyst: sudiarta
  Date: 2/20/2021
  Comments: beras 50KG x10
  



Time (sec),,, Joint Angles (deg),,,,,,,,,,,,,,,,,,,,,,,Joint Torques (Nm),,,,,,,,,,,,,,,,,,,,,,,Mean Strengths (Nm),,,,,,,,,,,,,,,,,,,,,,,Strength Std Devs (Nm),,,,,,,,,,,,,,,,,,,,,,,Percent Capables (%),,,,,,,,,,,,,,,,,,,,,,,
Time,Task,Action,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,
6.800, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.401,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,140.400,152.993,160.293,158.967,76.155,76.657,-3.638,-1.711,-3.998,7.744,0.950,-1.631,7.339,-21.734,-48.323,-78.682,32.995,-10.053,51.077,-16.176,-31.554,-11.795,-6.865,-36.080,-5.254,-3.780,-8.552,-118.344,-27.179,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,275.888,431.191,106.095,199.659,197.041,132.018,130.815,159.488,158.734,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,86.925,93.246,28.383,80.157,79.106,38.879,38.525,52.741,52.492,96.913,98.969,96.817,65.685,99.468,98.898,100.000,99.748,93.851,61.265,95.643,99.945,0.000,99.885,99.752,100.000,100.000,97.936,99.233,99.951,99.924,78.239,99.389,
6.833, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,139.154,152.543,161.319,156.574,78.207,73.012,-3.657,-1.625,-4.076,7.739,0.967,-1.632,7.743,-21.615,-48.273,-78.618,32.569,-9.776,51.208,-16.598,-32.678,-13.190,-7.352,-39.723,-4.126,1.056,-4.748,-105.172,-17.591,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,276.862,431.191,106.095,199.996,197.110,135.345,128.644,156.406,164.209,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,87.233,93.246,28.383,80.292,79.134,47.367,37.885,51.722,54.303,96.867,99.076,96.636,65.755,99.458,98.897,100.000,99.753,93.883,61.383,95.844,99.947,0.000,99.871,99.743,100.000,100.000,97.704,99.262,99.770,99.946,83.910,99.653,
6.867, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,138.342,155.481,162.980,163.139,80.591,71.794,-3.681,-1.538,-4.153,7.738,0.984,-1.634,8.127,-21.526,-48.230,-78.557,32.129,-9.498,51.355,-17.022,-33.675,-14.651,-7.841,-43.170,-3.003,3.939,-4.938,-87.364,-9.270,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,270.500,431.191,106.095,200.223,196.693,132.287,134.602,152.825,166.038,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,85.228,93.246,28.383,80.384,78.966,46.296,39.640,50.538,54.908,96.807,99.173,96.450,65.767,99.447,98.895,100.000,99.757,93.910,61.495,96.042,99.949,0.000,99.855,99.726,100.000,100.000,97.464,99.290,99.721,99.946,90.242,99.784,
6.900, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.474,-96.286,-175.707,46.868,5.415,0.001,137.703,161.414,164.762,174.872,83.302,71.497,-3.711,-1.451,-4.227,7.741,1.000,-1.637,8.489,-21.471,-48.193,-78.499,31.679,-9.219,51.517,-17.447,-34.567,-16.176,-8.332,-6.239,1.345,0.759,-146.111,-0.506,-347.713,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,257.652,431.191,106.095,200.406,226.701,128.839,145.250,148.753,166.485,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,81.180,93.246,28.383,80.457,61.858,45.090,42.775,49.191,55.055,96.733,99.262,96.263,65.721,99.436,98.893,100.000,99.760,93.933,61.601,96.238,99.951,0.000,99.837,99.700,100.000,100.000,99.209,100.000,99.774,49.184,99.871,0.050,
6.933, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,136.463,163.026,165.004,174.872,85.500,65.000,-3.745,-1.363,-4.298,7.749,1.017,-1.641,8.827,-21.448,-48.164,-78.444,31.219,-8.943,51.694,-17.871,-35.349,-17.760,-8.825,-7.361,-32.164,0.526,-201.455,-0.503,-410.517,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,254.160,431.191,106.095,200.771,195.981,128.357,145.250,145.452,176.244,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,80.079,93.246,28.383,80.604,78.680,44.921,42.775,48.100,58.282,96.645,99.342,96.075,65.618,99.425,98.889,100.000,99.761,93.951,61.701,96.429,99.953,0.000,99.817,99.685,100.000,100.000,99.178,98.133,99.778,9.439,99.870,0.000,
6.967, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.475,-96.299,-175.707,46.868,5.415,0.001,134.386,163.495,163.099,174.872,86.735,65.000,-3.785,-1.276,-4.366,7.762,1.032,-1.645,9.132,-21.457,-48.146,-78.393,30.766,-8.669,51.872,-18.293,-36.019,-19.396,-9.317,-8.975,-62.588,0.451,-222.613,-0.499,-431.705,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,253.144,431.191,106.095,201.415,195.954,132.061,145.250,143.596,176.244,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,79.759,93.246,28.383,80.862,78.670,46.218,42.775,47.486,58.282,96.541,99.414,95.888,65.476,99.415,98.885,100.000,99.760,93.963,61.794,96.611,99.955,0.000,99.795,99.675,100.000,100.000,99.133,95.500,99.779,3.525,99.870,0.000,
7.000, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.401,59.225,57.784,9.685,-37.672,-63.475,-96.299,-175.707,46.868,5.415,0.001,132.831,163.495,161.918,174.872,88.337,65.000,-3.829,-1.190,-4.431,7.778,1.047,-1.651,9.418,-21.499,-48.132,-78.346,30.295,-8.399,52.075,-18.709,-36.574,-21.075,-9.805,-10.405,-80.016,0.323,-214.186,-0.496,-427.012,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,253.144,431.191,106.095,201.922,195.954,134.260,145.250,141.190,176.244,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,79.759,93.246,28.383,81.066,78.670,46.987,42.775,46.690,58.282,96.422,99.479,95.703,65.259,99.405,98.880,100.000,99.758,93.972,61.880,96.791,99.957,0.000,99.771,99.668,100.000,99.965,99.092,92.975,99.781,5.351,99.870,0.000,
7.033, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.475,-96.299,-175.707,46.868,5.415,0.001,131.857,163.495,161.599,174.872,90.224,65.000,-3.878,-1.105,-4.492,7.799,1.062,-1.658,9.677,-21.574,-48.126,-78.303,29.822,-8.135,52.289,-19.120,-37.010,-22.790,-10.287,-11.619,-83.774,0.132,-209.106,-0.493,-427.417,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,253.144,431.191,106.095,202.251,195.954,134.840,145.250,138.355,176.244,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,79.759,93.246,28.383,81.198,78.670,47.190,42.775,45.753,58.282,96.287,99.536,95.522,64.986,99.395,98.874,100.000,99.755,93.976,61.959,96.963,99.958,0.000,99.745,99.663,100.000,99.963,99.055,92.309,99.784,6.772,99.870,0.000,
7.067, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.475,-96.299,-175.707,46.868,5.415,0.001,131.549,163.495,162.370,174.872,92.357,66.625,-3.932,-1.022,-4.549,7.825,1.075,-1.665,9.907,-21.681,-48.126,-78.264,29.347,-7.877,52.513,-19.521,-37.326,-24.534,-10.762,-12.282,-77.915,-0.081,-214.820,-0.490,-437.936,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,253.144,431.191,106.095,202.357,195.954,133.904,145.250,135.151,173.803,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,79.759,93.246,28.383,81.240,78.670,39.434,42.775,44.693,57.475,96.135,99.587,95.348,64.657,99.385,98.867,100.000,99.750,93.976,62.030,97.129,99.960,0.000,99.717,99.659,100.000,99.961,99.034,93.327,99.965,5.192,99.870,0.000,
7.100, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,129.808,163.202,158.754,174.872,92.248,68.334,-3.959,-1.043,-4.516,7.855,1.069,-1.671,9.679,-21.913,-48.192,-78.322,29.390,-7.953,52.593,-19.420,-36.412,-24.561,-10.655,-12.913,-66.688,0.227,-218.847,-0.479,-437.187,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,253.778,431.191,106.095,202.971,195.971,139.781,145.250,135.314,171.237,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,79.959,93.246,28.383,81.487,78.676,48.919,42.775,44.747,56.627,96.055,99.574,95.451,64.240,99.390,98.862,100.000,99.740,93.934,61.925,97.114,99.959,0.000,99.724,99.671,100.000,99.961,99.015,94.985,99.783,4.266,99.870,0.000,
7.133, ,,6.435,58.824,12.432,6.108,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.706,46.868,5.415,0.001,128.498,161.225,152.957,174.872,88.915,68.313,-3.975,-1.089,-4.463,7.881,1.058,-1.676,9.358,-22.138,-48.267,-78.394,29.578,-8.107,52.608,-19.202,-35.329,-24.124,-10.412,-13.050,-51.505,0.877,-201.469,-0.472,-401.295,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,258.059,431.191,106.095,203.451,196.104,148.562,145.250,140.322,171.268,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,81.308,93.246,28.383,81.679,78.730,51.992,42.775,46.403,56.637,96.009,99.546,95.608,63.892,99.397,98.858,100.000,99.729,93.887,61.792,97.049,99.958,0.000,99.739,99.691,100.000,99.962,99.012,96.687,99.774,9.434,99.871,0.000,
7.167, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.474,-96.299,-175.707,46.868,5.415,0.001,129.433,159.318,150.774,174.872,84.430,68.422,-3.983,-1.138,-4.410,7.902,1.047,-1.679,9.037,-22.329,-48.338,-78.463,29.810,-8.272,52.587,-18.964,-34.320,-23.548,-10.143,-12.391,-32.591,1.250,-176.816,-0.483,-361.177,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,262.189,431.191,106.095,203.107,196.267,151.437,145.250,147.058,171.104,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,82.609,93.246,28.383,81.541,78.795,52.999,42.775,48.631,56.583,95.984,99.514,95.762,63.635,99.405,98.855,100.000,99.719,93.843,61.667,96.968,99.957,0.000,99.755,99.709,100.000,99.964,99.032,98.111,99.769,23.022,99.871,0.039,
7.200, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.474,-96.299,-175.707,46.868,5.415,0.001,133.499,157.530,154.475,174.872,79.695,69.420,-3.984,-1.191,-4.357,7.918,1.035,-1.681,8.737,-22.482,-48.395,-78.525,30.056,-8.446,52.550,-18.708,-33.405,-22.839,-9.852,-10.016,-10.580,1.247,-146.918,-0.508,-319.278,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,266.064,431.191,106.095,201.701,196.449,146.425,145.250,154.171,169.605,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,83.830,93.246,28.383,80.977,78.868,51.245,42.775,50.983,56.087,95.981,99.478,95.912,63.435,99.413,98.853,100.000,99.712,93.807,61.552,96.879,99.956,0.000,99.771,99.724,100.000,99.965,99.103,99.077,99.769,48.432,99.871,0.382,
7.233, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.474,-96.299,-175.707,46.868,5.415,0.001,139.537,155.938,161.482,174.872,74.655,71.468,-3.978,-1.247,-4.305,7.927,1.024,-1.682,8.457,-22.594,-48.442,-78.581,30.324,-8.625,52.488,-18.441,-32.599,-22.012,-9.546,-5.404,13.361,1.264,-114.366,-0.528,-278.090,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,269.511,431.191,106.095,199.891,228.090,135.052,145.250,161.741,166.528,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,84.916,93.246,28.383,80.250,62.237,47.264,42.775,53.486,55.069,96.000,99.437,96.055,63.316,99.420,98.853,100.000,99.706,93.777,61.450,96.780,99.955,0.000,99.787,99.736,100.000,100.000,99.231,100.000,99.767,76.491,99.871,2.139,
7.267, ,,6.435,58.817,12.432,6.075,113.000,112.621,54.402,59.225,57.784,9.685,-37.672,-63.475,-96.299,-175.707,46.868,5.415,0.001,144.122,154.641,165.602,174.872,68.640,74.129,-3.964,-1.304,-4.255,7.929,1.013,-1.681,8.200,-22.664,-48.477,-78.629,30.610,-8.808,52.402,-18.166,-31.918,-21.082,-9.229,-1.378,37.679,1.511,-81.921,-0.544,-240.046,9.044,6.605,9.835,8.894,7.233,9.283,44.252,69.943,77.884,84.638,65.946,92.325,7.236,52.310,272.319,431.191,106.095,198.736,228.288,127.154,145.250,170.777,162.531,2.894,2.114,3.147,2.846,2.459,3.342,8.907,17.186,19.166,20.829,19.262,25.189,1.851,11.848,85.801,93.246,28.383,79.786,62.291,44.500,42.775,56.475,53.748,96.041,99.393,96.189,63.279,99.428,98.853,100.000,99.702,93.754,61.362,96.671,99.954,0.000,99.802,99.745,100.000,100.000,99.330,99.889,99.762,93.065,99.871,7.460,
7.300, ,,6.427,58.824,12.415,6.108,113.000,112.586,54.402,59.225,57.800,9.686,-37.670,-63.568,-96.286,-175.603,46.868,5.415,0.001,146.365,153.657,166.529,174.872,65.000,77.084,-3.943,-1.361,-4.209,7.926,1.002,-1.679,7.980,-22.688,-48.496,-78.650,30.895,-9.114,52.304,-17.910,-31.373,-20.065,-8.907,0.287,52.063,1.697,-60.071,-0.551,-214.931,9.045,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.628,65.942,92.319,7.241,52.273,274.450,431.191,106.095,228.373,228.405,125.248,145.250,176.244,158.093,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.826,19.261,25.188,1.853,11.839,86.473,93.246,28.383,62.314,62.323,43.833,42.775,58.282,52.280,96.103,99.344,96.310,63.306,99.435,98.856,100.000,99.701,93.741,61.306,96.559,99.952,0.000,99.814,99.752,100.000,100.000,100.000,99.766,99.758,97.677,99.871,13.843,
7.333, ,,6.427,58.824,12.415,6.109,113.000,112.586,54.402,59.225,57.800,9.686,-37.670,-63.568,-96.286,-175.603,46.868,5.415,0.001,145.954,151.851,164.429,169.125,65.000,76.945,-3.915,-1.417,-4.165,7.916,0.992,-1.675,7.785,-22.670,-48.507,-78.680,31.201,-9.292,52.174,-17.636,-30.976,-18.981,-8.587,-37.776,6.610,-38.207,2.243,-151.763,0.000,9.045,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.628,65.942,92.319,7.241,52.273,278.362,431.191,106.095,198.327,228.544,135.772,119.654,176.244,158.302,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.826,19.261,25.188,1.853,11.839,87.705,93.246,28.383,79.622,62.361,39.984,41.875,58.282,52.349,96.183,99.294,96.421,63.435,99.441,98.859,100.000,99.702,93.734,61.251,96.437,99.951,0.000,99.828,99.760,100.000,100.000,97.812,100.000,99.265,99.747,66.285,99.875,
7.367, ,,6.427,58.824,12.415,6.109,113.000,112.586,54.402,59.225,57.800,9.686,-37.670,-63.568,-96.286,-175.603,46.868,5.415,0.001,144.543,150.941,161.787,159.708,70.319,74.350,-3.881,-1.472,-4.126,7.900,0.983,-1.670,7.625,-22.608,-48.504,-78.700,31.508,-9.462,52.026,-17.369,-30.733,-17.848,-8.274,-41.073,4.121,-27.187,2.638,-164.176,0.000,9.045,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.628,65.942,92.319,7.241,52.273,280.333,431.191,106.095,198.639,228.578,133.374,138.173,168.255,162.200,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.826,19.261,25.188,1.853,11.839,88.326,93.246,28.383,79.748,62.370,39.278,48.356,55.641,53.638,96.279,99.241,96.517,63.645,99.447,98.863,100.000,99.705,93.736,61.214,96.310,99.950,0.000,99.840,99.764,100.000,100.000,97.591,100.000,99.656,99.746,52.935,99.875,
7.400, ,,6.427,58.824,12.415,6.109,113.000,112.586,54.402,59.225,57.800,9.686,-37.670,-63.568,-96.286,-175.602,46.868,5.415,0.001,151.447,151.354,175.581,163.697,80.715,76.478,-3.908,-1.438,-4.148,7.916,0.988,-1.675,7.698,-22.684,-48.516,-78.694,31.308,-9.358,52.137,-17.535,-30.766,-18.621,-8.470,-42.601,5.755,-89.699,3.038,-170.222,-0.454,9.045,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.628,65.942,92.319,7.241,52.273,279.238,431.191,106.095,197.285,228.566,145.893,130.920,152.639,159.003,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.826,19.261,25.188,1.853,11.839,87.981,93.246,28.383,79.204,62.367,42.965,45.818,50.476,52.581,96.203,99.274,96.464,63.444,99.444,98.859,100.000,99.701,93.728,61.225,96.393,99.950,0.000,99.832,99.762,100.000,100.000,97.459,100.000,90.458,99.737,36.370,99.871,
7.433, ,,6.435,58.824,12.432,6.109,113.000,112.585,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,151.469,149.169,174.872,155.077,79.951,71.535,-3.956,-1.377,-4.186,7.942,0.998,-1.682,7.834,-22.817,-48.534,-78.700,30.948,-9.045,52.331,-17.812,-30.843,-20.001,-8.824,-43.928,3.137,-91.567,3.521,-178.701,-0.461,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,279.189,431.191,106.095,197.281,228.573,145.250,145.546,153.786,166.428,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,87.966,93.246,28.383,79.203,62.368,42.775,50.937,50.856,55.036,96.064,99.331,96.368,63.094,99.438,98.853,100.000,99.694,93.717,61.231,96.539,99.952,0.000,99.820,99.762,100.000,100.000,97.358,100.000,89.530,99.734,31.203,99.871,
7.467, ,,6.435,58.824,12.432,6.109,113.000,112.586,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,151.824,146.385,174.872,151.331,79.565,68.882,-4.004,-1.315,-4.224,7.969,1.007,-1.689,7.967,-22.951,-48.552,-78.686,30.588,-8.858,52.525,-18.109,-30.904,-21.380,-9.176,-46.042,0.861,-97.306,3.532,-187.990,-0.476,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,278.420,431.191,106.095,197.223,228.376,145.250,150.725,154.366,170.413,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,87.723,93.246,28.383,79.179,62.315,42.775,52.749,51.048,56.354,95.921,99.383,96.269,62.741,99.432,98.846,100.000,99.687,93.705,61.257,96.679,99.954,0.000,99.805,99.760,100.000,100.000,97.189,100.000,86.886,99.736,25.500,99.871,
7.500, ,,6.427,58.824,12.415,6.109,113.000,112.586,54.402,59.225,57.800,9.686,-37.670,-63.568,-96.286,-175.602,46.868,5.415,0.001,152.155,145.041,174.872,153.859,79.488,68.688,-4.052,-1.255,-4.263,7.995,1.017,-1.696,8.095,-23.085,-48.570,-78.653,30.228,-8.796,52.719,-18.425,-30.949,-22.759,-9.526,-47.325,0.154,-101.975,3.131,-196.315,-0.493,9.045,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.628,65.942,92.319,7.241,52.273,277.703,431.191,106.095,197.170,228.198,145.250,147.306,154.482,170.704,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.826,19.261,25.188,1.853,11.839,87.497,93.246,28.383,79.158,62.266,42.775,51.553,51.086,56.450,95.774,99.431,96.169,62.383,99.425,98.840,100.000,99.679,93.694,61.301,96.815,99.954,0.000,99.787,99.759,100.000,100.000,97.082,100.000,84.420,99.741,20.638,99.871,
7.533, ,,6.435,58.824,12.432,6.109,113.000,112.585,54.402,59.225,57.800,9.685,-37.670,-63.474,-96.286,-175.707,46.868,5.415,0.001,152.465,146.577,174.872,160.956,79.834,69.474,-4.101,-1.194,-4.299,8.023,1.026,-1.704,8.220,-23.227,-48.587,-78.655,29.867,-8.486,52.913,-18.696,-30.982,-24.141,-9.875,-46.827,0.947,-104.638,2.471,-202.695,-0.513,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,277.032,431.191,106.095,197.122,228.397,145.250,135.995,153.961,169.524,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,87.286,93.246,28.383,79.138,62.320,42.775,47.594,50.914,56.060,95.620,99.476,96.071,62.020,99.419,98.833,100.000,99.671,93.682,61.314,96.947,99.956,0.000,99.772,99.758,100.000,99.965,97.123,100.000,82.884,99.748,16.919,99.871,
7.567, ,,6.435,58.824,12.432,6.109,113.000,112.585,54.402,59.225,57.800,9.685,-37.670,-63.475,-96.286,-175.707,46.868,5.415,0.001,152.774,150.437,174.872,169.827,80.398,69.897,-4.150,-1.134,-4.336,8.050,1.035,-1.711,8.341,-23.369,-48.605,-78.638,29.507,-8.302,53.107,-18.987,-30.964,-25.524,-10.222,-9.377,-37.114,-21.370,-56.471,-44.865,-151.554,9.044,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.638,65.942,92.325,7.241,52.310,276.362,431.191,106.095,197.074,197.456,145.250,140.671,153.115,168.889,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.829,19.261,25.189,1.853,11.848,87.075,93.246,28.383,79.119,79.273,42.775,41.427,50.634,55.850,95.461,99.517,95.971,61.652,99.413,98.826,100.000,99.663,93.671,61.346,97.073,99.957,0.000,99.754,99.758,100.000,99.963,99.115,97.844,99.811,97.894,98.373,62.196,
7.600, ,,6.427,58.824,12.415,6.109,113.000,112.585,54.402,59.225,57.800,9.686,-37.670,-63.568,-96.286,-175.603,46.868,5.415,0.001,151.381,153.337,171.356,174.872,79.179,68.510,-4.199,-1.074,-4.373,8.078,1.044,-1.719,8.459,-23.513,-48.622,-78.602,29.147,-8.243,53.301,-19.297,-30.860,-26.906,-10.565,-14.117,-29.928,-28.491,-67.338,-70.910,-141.392,9.045,6.605,9.835,8.893,7.233,9.285,44.251,69.943,77.881,84.628,65.942,92.319,7.241,52.273,275.145,431.191,106.095,197.296,196.989,142.059,145.250,154.947,170.971,2.894,2.113,3.147,2.846,2.459,3.343,8.906,17.186,19.166,20.826,19.261,25.188,1.853,11.839,86.691,93.246,28.383,79.208,79.085,41.836,42.775,51.240,56.539,95.297,99.556,95.870,61.280,99.407,98.819,100.000,99.654,93.659,61.394,97.196,99.958,0.000,99.732,99.758,100.000,99.962,98.962,98.267,99.668,96.573,94.952,69.964,
